inst_id,fiscal_year,revenue_tuition,revenue_subsidy,revenue_other,total_revenue,expense_personnel,expense_teaching,expense_facility,expense_rent,expense_admin,expense_other,total_expense,surplus,verified
KBD1D2CF7BD,2022,5415722.0,,208278.0,3624000.0,4620897.0,1055254.0,240736.0,,194935.0,199425.0,6141997.0,-517997.0,0
KED39D6F381,2022,19334230.0,,1009490.0,20343720.0,12821946.0,2359131.0,372413.0,,288841.0,2412471.0,18180192.0,2163528.0,1
K2415A70C05,2023,17230683.0,,1764337.0,18995020.0,11797585.0,2611071.0,79655.0,,344882.0,3911028.0,18744221.0,250799.0,1
K15CCE45A4E,2023,12690961.0,,1159894.0,13850855.0,9157815.0,1683012.0,189643.0,,256233.0,2912992.0,14199695.0,-348840.0,1
K54E0E6A4A2,2023,10020087.0,,4124019.0,14144106.0,5280926.0,1830522.0,211608.0,,123832.0,6445584.0,13893372.0,250734.0,1
KDF998FD925,2023,6164347.0,,2866882.0,9031229.0,2899218.0,1483420.0,176923.0,,96385.0,4053058.0,8709004.0,322225.0,1
K25B89B6B3E,2023,8952660.0,,3968931.0,12921591.0,5032018.0,1601854.0,200304.0,,139096.0,5680243.0,12653515.0,268076.0,1
KB7027794AA,2023,11605167.0,,3532953.0,15138118.0,6839375.0,2117069.0,220986.0,,282068.0,5491478.0,14950976.0,187142.0,1
KA17D8F5F9A,2023,20440250.0,,3357304.0,23797554.0,14991246.0,3091989.0,398754.0,,396570.0,4970841.0,23849400.0,-51846.0,1
K9FE59C70CF,2023,11230949.0,,3330596.0,16561545.0,6549857.0,1745371.0,258290.0,,242072.0,7847230.0,16642820.0,-81275.0,0
K5BDC0C740F,2023,6707645.0,,3170433.0,9878078.0,3361395.0,1224956.0,154155.0,,228003.0,4832996.0,9801505.0,76573.0,1
K9A79920811,2023,12361731.0,,4414331.0,16776062.0,8924216.0,2167509.0,175184.0,,241664.0,4506833.0,16015406.0,760656.0,1
KF31C21F4B0,2023,14907395.0,,1912245.0,16820540.0,11352830.0,2610882.0,359347.0,,340228.0,2311155.0,16974442.0,-153903.0,1
K633CC054A3,2023,10756247.0,,651946.0,11408193.0,7038621.0,1406217.0,114250.0,,209369.0,2788214.0,11556665.0,-148472.0,1
KBDDA1A2637,2023,10123955.0,,1501225.0,12556080.0,7834805.0,1749191.0,177309.0,,223151.0,2484416.0,12468872.0,87208.0,0
K8D89087028,2023,-87726.0,,1322437.0,14883486.0,9542297.0,1901811.0,275011.0,,274922.0,3443819.0,15407860.0,-524374.0,0
K1903EBE606,2023,23101337.0,,4552841.0,27654178.0,15815742.0,2488226.0,226012.0,,382997.0,8359899.0,27272876.0,381302.0,1
K67A61067B3,2023,12553277.0,,2563389.0,15116666.0,8916311.0,2157020.0,374949.0,,262729.0,15778783.0,15489792.0,-373126.0,0
K81731FCDA3,2023,15581615.0,,2636387.0,18218002.0,10661543.0,2232833.0,273124.0,,315722.0,5128446.0,18611668.0,-393666.0,1
KE2E8B37088,2023,1452765.0,,2911090.0,15415862.0,9416455.0,2403354.0,304466.0,,274742.0,3343088.0,15742105.0,-326243.0,0
KF984F05B3B,2023,-620906.0,,2862109.0,19390034.0,11256942.0,2174031.0,264243.0,,364174.0,5038274.0,19097664.0,292370.0,0
K557631E383,2023,18896234.0,,2852204.0,21748438.0,12881177.0,3080006.0,346202.0,,457769.0,2497640.0,19262794.0,2485644.0,1
KEF0B2D1C01,2023,10969998.0,,1566429.0,12536427.0,6575048.0,1399872.0,181411.0,,363981.0,3871047.0,13088499.0,-552072.0,0
KF3442B4BCB,2023,11312864.0,,2246964.0,13559828.0,6441218.0,1547022.0,127022.0,,357481.0,4436423.0,13550446.0,9382.0,0
KBEC7666275,2023,10272636.0,,5036748.0,15309384.0,4776110.0,1820896.0,255121.0,,172382.0,7786289.0,14810798.0,498586.0,1
K506842339C,2023,9553915.0,,3107454.0,12661369.0,5605418.0,1396511.0,163099.0,,192760.0,4617877.0,11936339.0,725030.0,1
K4574C62080,2023,11692929.0,,4573803.0,16266732.0,7079229.0,2226253.0,208165.0,,263265.0,6367392.0,16146104.0,120628.0,1
K67BABA0726,2023,11948857.0,,3540903.0,15489760.0,6209038.0,2617774.0,231781.0,,297913.0,3380530.0,12737036.0,2752724.0,1
KDD826D2227,2023,11585545.0,,3760658.0,15346203.0,6138401.0,1600817.0,190508.0,,240472.0,6410301.0,14580499.0,765704.0,1
K6E947C0B9C,2023,22983248.0,,4294315.0,27277563.0,14997656.0,3658105.0,354551.0,,433520.0,8175119.0,27618951.0,-341388.0,1
K39DA25503E,2023,26305812.0,,3846700.0,30152512.0,18104935.0,4528018.0,534011.0,,438606.0,6816586.0,30422156.0,-269644.0,1
KC0365E3036,2023,12500970.0,,796460.0,13297430.0,8377365.0,1718274.0,223927.0,,254964.0,1194832.0,11769362.0,1528068.0,1
KBD1D2CF7BD,2023,10239105.0,,1636973.0,11876078.0,6812566.0,1916263.0,233367.0,,224813.0,1806669.0,10993678.0,882400.0,1
KED39D6F381,2023,19527066.0,,1706220.0,21233286.0,13743920.0,2521927.0,361942.0,,283745.0,4280110.0,21190644.0,42642.0,1
K78C0A96435,2023,19877526.0,,1641444.0,21518970.0,11672852.0,2277852.0,383021.0,,383354.0,2994019.0,17681319.0,3837651.0,1
KD6A7087AF1,2023,10837105.0,,885290.0,11722395.0,6472036.0,1554198.0,179734.0,,246574.0,3123211.0,11576645.0,145750.0,1
K2415A70C05,2024,17921950.0,,2234028.0,20155978.0,11978248.0,2273073.0,234707.0,,311242.0,7347479.0,22144749.0,-1988771.0,1
K15CCE45A4E,2024,14066000.0,,1851287.0,15866725.0,9040242.0,1605669.0,333137.0,,249162.0,3963632.0,15191842.0,674883.0,1
K54E0E6A4A2,2024,11624870.0,,1219532.0,12844402.0,8710840.0,1681611.0,190544.0,,185725.0,2833755.0,13604475.0,-760073.0,1
KDF998FD925,2024,7369632.0,,981495.0,8351127.0,5072224.0,1254422.0,283893.0,,150856.0,2109800.0,8871195.0,-520068.0,1
K25B89B6B3E,2024,11971032.0,,1233463.0,13204495.0,6363884.0,1110710.0,183064.0,,237011.0,3702981.0,11597650.0,1606845.0,1
KB7027794AA,2024,-205185.0,,2943245.0,14632460.0,7955962.0,2140021.0,228471.0,,285744.0,4624775.0,152349073.0,-602513.0,0
KA17D8F5F9A,2024,18928477.0,,3187950.0,29145666.0,17915419.0,2663831.0,301313.0,,368955.0,5270181.0,25409886.0,3735780.0,0
K9FE59C70CF,2024,11426888.0,,4096386.0,15523274.0,7810400.0,1879882.0,223420.0,,258862.0,6116370.0,16288934.0,-765660.0,1
K5BDC0C740F,2024,6254595.0,,2318739.0,15297334.0,4817555.0,1195077.0,215880.0,,251497.0,4903711.0,10105038.0,5192296.0,0
K9A79920811,2024,13218109.0,,4334867.0,17552976.0,9314356.0,2274945.0,274423.0,,269093.0,5943526.0,18076343.0,-523367.0,1
KF31C21F4B0,2024,16429902.0,,2550122.0,18980024.0,11667233.0,2321371.0,266417.0,,364184.0,3805974.0,18425179.0,554845.0,1
K633CC054A3,2024,,,,87424.0,,1231366.0,149400.0,,203644.0,,1356145.0,-692433.0,0
KBDDA1A2637,2024,12307119.0,,1798925.0,14106044.0,8185812.0,1830686.0,196951.0,,233736.0,3559343.0,14006528.0,99516.0,1
K8D89087028,2024,21313089.0,,2578071.0,23891160.0,15550045.0,2549104.0,225955.0,,290919.0,3759825.0,22375848.0,1515312.0,1
K1903EBE606,2024,23049937.0,,5137192.0,28187129.0,16137029.0,2971656.0,304587.0,,397133.0,9140387.0,28950792.0,-763663.0,1
