post_id,inst_id,name,source,post_date,content,engagement,url
P000028,KE1E3F8E92A,新北市私立芮嘉幼兒園,新聞：中時新聞網,2025-12-31,新北五股魚菜共生農場 幼童餵魚兼採收體驗食農教育 - 中時新聞網。新北五股魚菜共生農場 幼童餵魚兼採收體驗食農教育 中時新聞網,,https://news.google.com/rss/articles/CBMibkFVX3lxTE9QQlpnUXNzWmt2cGppcXpDN1JmRmlUWTZKaFJKeXJPWVA0dkF0WklaQVpLODBTSnFtV09PcVJERVJGdzNLYlBtSXlNaUwyQmprc2o2VlVVMWk2dkNUTUZGZmxRSTd6RE1LMnVCWnJB?oc=5
P000029,KDF1E5BF08C,新北市私立大崁璽恩幼兒園,新聞：lnanews.com,2023-07-01,璽恩幼兒園飄書香 感謝安國寺雲水書坊 - lnanews.com。璽恩幼兒園飄書香 感謝安國寺雲水書坊 lnanews.com,,https://news.google.com/rss/articles/CBMiS0FVX3lxTFBldHpLSHhDQU9xZ3NFT0FpdTh5OU9hdVJoaWdXV2hvd2JkQjl6dDRhQmVYZmRWelJkZUVoMTdMNzA1NHRHMGp5V3dzQQ?oc=5
P000030,KDF1E5BF08C,新北市私立大崁璽恩幼兒園,新聞：lnanews.com,2022-06-18,安國寺雲水書坊 行動圖書館為愛永飄香 - lnanews.com。安國寺雲水書坊 行動圖書館為愛永飄香 lnanews.com,,https://news.google.com/rss/articles/CBMimgJBVV95cUxNNkstNDBpMHM3dG5aZll1XzNOQ1owNmlvLXFYeVpjc2paREFiRnRWZWpGZWdaU1JaVlVHV1g1bjlJcW9lTnFuVmRSeU1hSXVMNGw5RWNmZlZRZEwxTjZCV21NOU1ORjB4TlhWMGFtZllYVDVkcjZ3VjI2b0hwTnB0WHJ6WTRuc1lXc0hVQjN5aFZuYUJZSjloWktORWdzeHRqQ3lQdFJLLWNQdTkwNjVWUHFITG1LN0xhN2NkNC1WZlROcDZIMTRueEFSMHZOUTB5SEJkMzhseUVmbTNsM1BIeTdqQ0k0QlFFNzVrNXJWUVFfZG1wa1dEMkM0cHdWZVNJQWlxMHNtYUdPc3E0VFpCUjY3MktGRWYwNmc?oc=5
P000031,K946C064712,新北市私立土城育全幼兒園,新聞：知新聞,2026-01-22,新北連鎖幼兒園無照教保員虐5童！爆挨罰非首次 教育局全面清查10機構：最重廢止設立 - 知新聞。新北連鎖幼兒園無照教保員虐5童！爆挨罰非首次 教育局全面清查10機構：最重廢止設立 知新聞,,https://news.google.com/rss/articles/CBMib0FVX3lxTE1RWXc2TVZXM20xN1lwRVd5OVFsZVZfM2lwZmRCUDBNUHhhalNOdTBTMy1DT19FYUJhLWpaSlJlN0Y1UVRoMVZydTViNU0zdVRwQXB4T2lkeUtpREptb2lEQVctNXNLZUlNZmtha194RQ?oc=5
P000032,K946C064712,新北市私立土城育全幼兒園,新聞：Yahoo新聞,2026-01-22,土城育全幼兒園4天拉拽踹幼童50次 市府怒開罰13.2萬「一週內掀底旗下10機構」 - Yahoo新聞。土城育全幼兒園4天拉拽踹幼童50次 市府怒開罰13.2萬「一週內掀底旗下10機構」 Yahoo新聞,,https://news.google.com/rss/articles/CBMisgNBVV95cUxNLTY1S3NlOHVoeDZRSExaRzVjRExyVWdMb0t5cEl2cGt1bXUxWHpHX1BvVjE2ckM4b3RnWUFYQjZfQ0c2cDEzeDhCRXFNQW1KVktSS0ZXY0hXWWpuMmswLWtTV1UzdGJXWXpIMnhIZmVQckdvNEtXZjlndXA0RW9OV01TdFl4Tl9BOWc0VXhMVU1FUVVFaFVvUnFianpwNHhKSXBGOG1iTTZqSjZxU2FUT2pGMFo0a2MtaHRsSi1ONko2eS1sS09VX3JQMzc1RVo0ZHREMUEwMGlTODZYUEZvbzd3bENTRlY4T1oyckptNGV5cF8tQnhhOWFhVGJJMjlCVGNNWDVmajExZWZFM0hfVkxYT2d2bF9uVHFrWXVfM2h2MTZQdVA3NlctY3Z6RDdwODlndXpNeVJ3OTdUeGkxUUlkbkNpSTVIaUY4OThLZ0hJenNwWjVzRE16cW45XzNUWGZkaEhZbURJeDVTRFZaazF0ekY0OHQxc09nLWVGN1dqdmVFZzN5dUhDSm1KNXNEYUVjdkI5cWFUeTZxeFBNUWtsX2huMkt4ZWZZRlVpNkJxQQ?oc=5
P000033,K946C064712,新北市私立土城育全幼兒園,新聞：鏡週刊Mirror Media,2026-01-23,土城育全幼兒園4天拉拽踹幼童50次　市府怒開罰13.2萬「一週內掀底旗下10機構」 - 鏡週刊Mirror Media。土城育全幼兒園4天拉拽踹幼童50次 市府怒開罰13.2萬「一週內掀底旗下10機構」 鏡週刊Mirror Media,,https://news.google.com/rss/articles/CBMiY0FVX3lxTE9QOGJiVElYSF90bEJ2WjZxdEVKcTVSdWQtcmxDbURhRUxKUjhGa1FNaERQekhYRklNUEJmdzNEOUpfaG1FakhkWGR6cFM5MldLWlNZYy1rbk1lS1AwWVNwd3NKc9IBaEFVX3lxTFB1elAzQ0dsZG9zaUJWaFBaejU4eVFKMEJPd0xlNkVJOHVPODBpbGF3UmhfaF9pNW5IMzVwbmZxOUtpTGE2ZGFWczQzd1VVTURkWllBOEpqajRva2hOT3phM3N4cmM0SGdv?oc=5
P000034,K946C064712,新北市私立土城育全幼兒園,新聞：自由時報,2026-01-22,新北幼兒園被爆4天虐童50次 林月琴：放任無照教保員進班「20年」 - 自由時報。新北幼兒園被爆4天虐童50次 林月琴：放任無照教保員進班「20年」 自由時報,,https://news.google.com/rss/articles/CBMiZEFVX3lxTE1yQzNldU1OTVhTODc4eUhvR05XeHJ6NWFwVC1iSmRUSEcxRFNwVXVCUEdTTEZZTy04R1VjenRjbWo4WDNTTGhnYjF4ZG8wTzJ2aDVZT29kV3ZUUjRMY0hzckN0QnXSAWpBVV95cUxQRTN5cjhfSTFWNU9MVl9fNnBfcXZiTURqeEo5cG5zdVdFSm9KVDhscjU1RGpneTQwZ3NMSmhocVdOWTlTQU0xdl9NSmVfNVVoTEQ1ZEZ4STc5Vl9xbUFPNC1PSzVvU0FyVjRn?oc=5
P000035,K946C064712,新北市私立土城育全幼兒園,新聞：自由時報,2026-01-23,4天拉扯50次 新北幼兒園再傳不當對待 - 自由時報。4天拉扯50次 新北幼兒園再傳不當對待 自由時報,,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1scjNOVF95Z0lqMGd6NGVwenVIWXcxRDF2a1ZKdjlnY00yOGVXV1RWazZ6NnR2Y0VSbHFyeGNLWGdDWkZKXzdwc2dOdEFPamlKaHVmOWRmTjZSOEnSAWBBVV95cUxNUkk1WnRicXpuSENJMWN4X3FCOEk4YmtPMVI5c3BlVWJVMUoxeW41SUJoaHpTekhKNDZEeldxRW1SeEZVdnc2UEF5YnROcWpLemlzRzBZT2JLcUZyNGV5cjQ?oc=5
P000036,K946C064712,新北市私立土城育全幼兒園,新聞：造咖,2026-01-22,新北土城幼兒園爆虐童！把孩童當沙包踢踹，裁罰多次仍營業 - 造咖。新北土城幼兒園爆虐童！把孩童當沙包踢踹，裁罰多次仍營業 造咖,,https://news.google.com/rss/articles/CBMiVEFVX3lxTE1EM2VGVERMeWU4LTRhMlRZd3k2VzQwZjdUUVY4ejROYkdKdGdTZW1kTUVYUzA1QXBad250N0x3TWEtMEx2RHBKN1BFLUtjOGx3NnZZbw?oc=5
P000037,K946C064712,新北市私立土城育全幼兒園,新聞：TVBS新聞網,2026-01-22,無照教保員「4天虐童50次」 家長怒孩被賞巴掌、拖行：「被當沙包」 - TVBS新聞網。無照教保員「4天虐童50次」 家長怒孩被賞巴掌、拖行：「被當沙包」 TVBS新聞網,,https://news.google.com/rss/articles/CBMiT0FVX3lxTE5kLUZIWFJYSXJBS0g5eTFZVnZsVDlEV1A5ZWI2azZOZWhiZlE1VDZjejRfR25HVEd6SEI0ajJaTjVSanhnQnNMZ0NtaDdnNGc?oc=5
P000038,K946C064712,新北市私立土城育全幼兒園,新聞：Yahoo新聞,2026-01-22,「4天拉拽踹逾50次」土城幼兒園被爆虐童 家長怒轟「把幼童當沙包」 - Yahoo新聞。「4天拉拽踹逾50次」土城幼兒園被爆虐童 家長怒轟「把幼童當沙包」 Yahoo新聞,,https://news.google.com/rss/articles/CBMihwNBVV95cUxNa1BsOTJ4dWFXT2JQVkhsMlIybVF4b2k1cU5xWDhpMzM2dzJRQ0toTWVrOElLUWhiTnF1OWZQeDNQYVpvM0JDYnd5NnFFNGI0WTdRUU8yekNRNG5CSEd1UmFtcGR6M2xocEpsR2F6UWY4RC1qNkxsZHFndFVLVG5abnc5bW03cHJXMlBISzRZS0tjb2hELUQ0SF9HU2YtV0NOQVJWbC1RTVhXZTc5UGtweUpUYUc4YnNvODVmRVdqSUlvNVZuUi03LVh5cjAzTjl6Wl9jakNDaXptUy1tNHAxX3ZOaTYtbS02VTRQYk1HbTUzbVdpaWF0UFNLenRqa1I0b2hUWXVnN2NUUTRBc1dDa2ZjX0ZPRjJldlB5bC1hcFhYTGJ3cWFRdWdFS3hHVjVQdlVrb0hFLWc5YTQySS1xZnZxeGtvcnNMUGExeGp4MFJTekZHZVhLVmVZTjFpMkZNTGhiM2tjSW9fdXRLS2ctMGxVRG8xUGtlNVBsbFdUMmE1VVRqSTBJ?oc=5
